Autocode,BillNo,RoomACD,Date,Time,Table,Pax,StewardCode,Disc_Taxable,Disc_NTaxable,Cash,CreditCard,CCNo,CC Company,BillAmount,Discount,DiscAmt,Total,Collected,User,IsCompl,BillCleared,Room_BillACD,GRCode,PartyCode,Credit,cancelled,cancel user,Cancel Date,REPRINTS,Rm_Coll_Date,ISMEM,TAB_ORD,PKGOrd,SPLIT,RCPT_NO,ALLOWANCE,RETAIL,CHALLAN,CC_SURC_PERC,CC_SURC_AMT,WASTAGE,VAT_A_DISC,TOT_VAT,SERV_TAX_PERC,SERV_TAX_AMOUNT,DEPT_WDisc,RO_AMT,IS_PLANFood,GRP_TBL_ORDERNO,REMARKS,RESETTLED,DLV_ADVANCE,DLV_ORDER,DLV_TIME,DELIVERED,ORD_ACODE,ORD_NO,DINE_IN_RATE,STAX_ADISC,SRV_CHG_Perc,SRV_CHG_Amt,COMPL_NO_VAT,MOBILE_NO,CESS_AMT,SHIFT_ID,PMT_MODE,IS_PMT_XMODE,GST_NO,GUEST
1,2,0,"2023-04-24 00:00:00","1899-12-30 14:42:23","1",1,2,0,0,0,0,,,8.2000000000000000e+02,0,0.0000000000000000e+00,8.2000000000000000e+02,8.2000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,4,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
2,3,0,"2023-04-24 00:00:00","1899-12-30 16:12:37","1",1,2,0,0,0,0,,,2.8000000000000000e+02,0,0.0000000000000000e+00,2.8000000000000000e+02,2.8000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
3,4,0,"2023-04-24 00:00:00","1899-12-30 17:21:17","1",1,2,0,0,0,0,,,1.4000000000000000e+02,0,0.0000000000000000e+00,1.4000000000000000e+02,1.4000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
4,5,0,"2023-04-24 00:00:00","1899-12-30 20:15:54","1",1,2,0,0,0,0,,,1.8000000000000000e+02,0,0.0000000000000000e+00,1.8000000000000000e+02,1.8000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
5,6,0,"2023-04-24 00:00:00","1899-12-30 20:37:06","1",1,2,0,0,0,0,,,2.4000000000000000e+02,0,0.0000000000000000e+00,2.4000000000000000e+02,2.4000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
6,7,0,"2023-04-24 00:00:00","1899-12-30 22:00:27","2",1,2,0,0,0,0,,,2.4000000000000000e+02,0,0.0000000000000000e+00,2.4000000000000000e+02,2.4000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
7,8,0,"2023-04-25 00:00:00","1899-12-30 11:35:56","1",1,2,0,0,0,0,,,5.0000000000000000e+01,0,0.0000000000000000e+00,5.0000000000000000e+01,5.0000000000000000e+01,"ADMINISTRATOR",0,0,0,0,0,0,0,,,1,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
8,9,0,"2023-04-25 00:00:00","1899-12-30 13:33:04","1",1,2,0,0,0,0,,,7.6500000000000000e+02,0,0.0000000000000000e+00,7.6500000000000000e+02,7.6500000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
9,10,0,"2023-04-25 00:00:00","1899-12-30 17:09:11","2",1,2,0,0,0,0,,,5.1000000000000000e+02,0,0.0000000000000000e+00,5.1000000000000000e+02,5.1000000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
10,11,0,"2023-04-25 00:00:00","1899-12-30 18:16:29","1",1,2,0,0,0,0,,,1.8500000000000000e+02,0,0.0000000000000000e+00,1.8500000000000000e+02,1.8500000000000000e+02,"ADMINISTRATOR",0,0,0,0,0,0,0,,,2,,0,0,0,0,,,0,0,,,0,-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.0000000000000000e+00,0,,,0,,0,,0,,,0,0,,,0,,0.0000000000000000e+00,"04-24-2023 2:38:09 PM/1",,0,,"CASH"
