KOTNo,Date,Time,Table,ItemACd,ItemCode,ItemName,Rate,Tax,Amount,Department,Pax,StewardCode,User,ModifyUser,ModifyTime,cancelled,DISCOUNT,TRACKABLE,RoomACD,RoomNO,Autocode,BillACode,BillNo,BillCleared,GRCode,Rm_Coll_Date,KID,TAXABLE,WASTAGE,DEPT_WDisc,QUANTITY,PUR_ITEM,STK_MOVMT,ORD_NO,SIDE_ORD,CESS_PERC
1,"2023-04-24 00:00:00","1899-12-30 14:42:18","1",24,"0024","Classic Margrita (Small)",1.6000000000000000e+02,0.0000000000000000e+00,1.6000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,1,1,"2",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
1,"2023-04-24 00:00:00","1899-12-30 14:42:18","1",142,"0141","Cappuccino M",1.3000000000000000e+02,0.0000000000000000e+00,2.6000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,2,1,"2",0,0,,0,0,0,0,2.0000000000000000e+00,0,0,,0,
1,"2023-04-24 00:00:00","1899-12-30 14:42:18","1",165,"0164","Muffins",4.0000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+01,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,3,1,"2",0,0,,0,0,0,0,2.0000000000000000e+00,0,0,,0,
1,"2023-04-24 00:00:00","1899-12-30 14:42:18","1",135,"0134","Ice Tea Lemon L",1.6000000000000000e+02,0.0000000000000000e+00,3.2000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,4,1,"2",0,0,,0,0,0,0,2.0000000000000000e+00,0,0,,0,
2,"2023-04-24 00:00:00","1899-12-30 16:12:05","1",142,"0141","Cappuccino M",1.3000000000000000e+02,0.0000000000000000e+00,1.3000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,5,2,"3",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
2,"2023-04-24 00:00:00","1899-12-30 16:12:05","1",175,"0174","Milk Shake Mango",1.5000000000000000e+02,0.0000000000000000e+00,1.5000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,0,1,0,,6,2,"3",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
3,"2023-04-24 00:00:00","1899-12-30 17:21:08","1",53,"0052","Super Greens Sandwich  Simple",1.4000000000000000e+02,0.0000000000000000e+00,1.4000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,1,0,,7,3,"4",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
4,"2023-04-24 00:00:00","1899-12-30 20:15:35","1",132,"0131","Fresh Lime Soda M",9.0000000000000000e+01,0.0000000000000000e+00,1.8000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,8,4,"5",0,0,,0,0,0,0,2.0000000000000000e+00,0,0,,0,
5,"2023-04-24 00:00:00","1899-12-30 20:36:57","1",160,"0159","Rich Chocolate Truffle",1.2000000000000000e+02,0.0000000000000000e+00,2.4000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,9,5,"6",0,0,,0,0,0,0,2.0000000000000000e+00,0,0,,0,
6,"2023-04-24 00:00:00","1899-12-30 21:59:58","2",160,"0159","Rich Chocolate Truffle",1.2000000000000000e+02,0.0000000000000000e+00,1.2000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,10,6,"7",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
6,"2023-04-24 00:00:00","1899-12-30 21:59:58","2",156,"0155","Chocolate Brownie",1.2000000000000000e+02,0.0000000000000000e+00,1.2000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,11,6,"7",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
7,"2023-04-25 00:00:00","1899-12-30 11:35:48","1",177,"0176","Minral Water",2.5000000000000000e+01,0.0000000000000000e+00,5.0000000000000000e+01,"K",1,2,"ADMINISTRATOR",,,0,0,1,0,,12,7,"8",0,0,,0,0,0,0,2.0000000000000000e+00,0,0,,0,
8,"2023-04-25 00:00:00","1899-12-30 13:32:54","1",24,"0024","Classic Margrita (Small)",1.6000000000000000e+02,0.0000000000000000e+00,4.8000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,13,8,"9",0,0,,0,0,0,0,3.0000000000000000e+00,0,0,,0,
8,"2023-04-25 00:00:00","1899-12-30 13:32:54","1",134,"0133","Ice Tea Lemon M",1.2000000000000000e+02,0.0000000000000000e+00,1.2000000000000000e+02,"K",1,2,"ADMINISTRATOR",,,0,1,0,0,,14,8,"9",0,0,,0,0,0,0,1.0000000000000000e+00,0,0,,0,
