AutoCode,SName,Item,Cuisine,Deptt,Rate,Tax,Trackable,Recipie Code,Liquor,Discountable,Category,Genre,Discontinued,GROUPS,SECSTK,RW_SSTK_ACD,PEG TYPE,LARGE,TAXABLE,FORCEQTY,QTY,TQTY,SELL_UOM,UOM_ACODE,ROLLBACK,DECIMAL,PRODUCTION,PROD_QTY,PROD_UOM,PROD_CONV,SRVTAX,BARCODE,PUR_ITEM,PUR_UOM,PUR_CONV,OPG_STK,ASK_RATE,ENB_SHELF_LIFE,SL_VALUE,SL_DURATION,SL_DAYS,BATCH_TYPE,ROLLBK_PRD,DLV_RATE,OPG_STK_LOC,RCP_ACTIVE,CESS_PERC,ICON_IDX,USE_ALT_NAME,ALT_NAME,MIN_LEVEL
22,"0022","Hot Dog Veg",0,"K",9.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
23,"0023","Hot Dog Non Veg",0,"K",1.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
24,"25","Classic Margrita (Small)",0,"K",2.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
25,"0025","Farm House Pizza (Small)",0,"K",3.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
26,"0026","Indi Paneer Tikka Pizza (Small)",0,"K",3.0000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
27,"0027","Mushroom And Corn Pizza (S)",0,"K",2.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
28,"0028","Peri Peri Paneer Tikka And Vegetabl",0,"K",2.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
29,"0029","Chicken Pepperoni (Small)",0,"K",2.5000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
30,"31","Indi Chicken Tikka (Small)",0,"K",3.5000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
31,"32","Chicken Salami (Small)",0,"K",3.6000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
32,"0032","Non Veg Loaded Pizza (Small)",0,"K",3.7000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
33,"0033","Addon Jalapaeos Small",0,"K",4.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"ADDONS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
